,Dep,link,Dep,Course_type,ID,Course Name
0,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Core courses,6001,Research Design and Inquiry Methods
1,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Core courses,6002,Applied Predictive Analytics
2,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7101,Theory of Probability and Applications
3,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7102,Statistical Inference
4,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7103,Statistical Graphics and Data Visualization
5,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7104,Sampling and Survey Data Analysis
6,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7105,Quantitative Forecasting
7,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7106,Applied Multivariate Data Analysis
8,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7107,Applied Categorical Data Analysis
9,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7108,Applied Longitudinal Data Analysis
10,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7101,Theory of Probability and Applications
11,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7102,Statistical Inference                                                             
12,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7201,Enterprise Risk Management
13,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7202,Statistics for Risk Modeling
14,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7203,Financial Mathematics
15,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7204,Actuarial Mathematics
16,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7205,Credibility Theory and Loss Distributions
17,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7206,Risk Theory and Actuarial Modeling
18,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7301,Strategic Intelligence
19,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7302,Applied Statistical Analysis
20,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7303,Accounting and Finance Data Sciences
21,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7304,Marketing Data Sciences
22,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7305,Operations Data Sciences
23,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7306,Human Resources Data Sciences
24,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7307,Risk Data Sciences
25,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7103,Statistical Graphics and Data Visualization
26,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7401,Quantitative Techniques for Decision Making
27,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7402,Data Wrangling and Cleansing
28,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7403,Applied Missing Data Analysis
29,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7404,Structural Equation Modeling
30,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7405,Multilevel Modeling
31,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7406,Principles of Insurance
32,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7407,Long-Term Actuarial Mathematics
33,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7408,Survival Analysis
34,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7409,Accounting and Corporate Finance
35,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7410,Business Economics
36,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7411,Investment Analysis and Portfolio Management
37,GSAS,https://as.nida.ac.th/en/as/#ตารางสอบ,AS,Elective courses,7412,Project Evaluation
